tile,RUBCNL,x,y,path,../models/res18/RUBCNL_Res18/Res18_1000_ep_29.pt,../models/res18/res18_ciga_freeze/Res18_ep_29.pt,../models/res18/RUBCNL_Res18_freeze/Res18_1000_ep_29.pt,../models/res18/RUBCNL_Res18_random/Res18_1000_ep_29.pt,../models/res18/RUBCNL_Res18_ciga/Res18_ep_29.pt,../models/res18/RUBCNL_Res18_ciga_drop/Res18Dropout_ep_29.pt,../models/res18/res18_iced_e29.pt,../models/res18/res18_not_iced_e29.pt,../models/res50/RUBCNL_HLR_Res50slim/15072024_ep_39_lr_0.0005resnet.pt,../models/res50/RUBCNL_HLR_Res50slim_ice/15072024_ep_39_lr_0.0005resnet.pt,../models/res50/RUBCNL_HLR_Res50slim_optim_ice/RUBCNL_HLR_Res50slim_optim_ice15072024_ep_26_lr_0.0005resnet.pt,../models/res50/RUBCNL_HLR_Res50_Drop/24072024_ep_29_lr_0.0005resnet.pt,../remote_models/res50/RUBCNL_Res50/MyNet2_ep_29.pt,../models/res50/RUBCNL_Res50_random/Res50_1000_ep_29.pt,../models/res50/RUBCNL_Res50_freeze/MyNet2_ep_29.pt,../models/res50/RUBCNL_Res50_drop_freeze/Res50Dropout_ep_29.pt,../models/vgg13/dropout/VGG13_Dropout_ep_29.pt,../models/vgg13/base_model/VGG13_ep_29.pt,../models/vgg13/random_weights/VGG13_ep_29.pt
p020_0_0.tiff,-0.1834219776556891,78,78,../../Training_Data/p020/Tiles_156/p020_0_0.tiff,0.0530319437384605,1.156496286392212,-0.2490821778774261,0.8338084816932678,-0.1168299317359924,0.0667449682950973,0.5046761631965637,0.2942595779895782,-0.134174033999443,0.3764482736587524,0.3453169763088226,0.0359570980072021,-0.1599146276712417,0.1393590122461319,0.1999296844005584,0.3184958696365356,0.4164090156555176,0.0298883579671382,-0.0189732126891613
p020_1_0.tiff,1.713914046895154,234,78,../../Training_Data/p020/Tiles_156/p020_1_0.tiff,0.0586436912417411,0.9559884667396544,-0.1487312316894531,0.602566123008728,1.7140841484069824,0.4873680174350738,1.1434026956558228,0.8859495520591736,1.6967735290527344,0.507569432258606,0.3992406129837036,0.0627828165888786,1.9224822521209717,0.3566907942295074,1.2733832597732544,0.6213985681533813,0.3944177329540252,0.0302255898714065,-0.012845871038734913
p020_2_0.tiff,0.9766140717109566,390,78,../../Training_Data/p020/Tiles_156/p020_2_0.tiff,0.037899449467659,1.0339761972427368,-0.3872748017311096,0.7897953987121582,0.8167825937271118,0.5197877883911133,0.9290237426757812,1.133909821510315,0.9183695912361144,1.187619924545288,1.1202484369277954,0.0347764641046524,0.8444717526435852,0.5952317714691162,0.0950325652956962,0.3279074430465698,0.4726757407188415,0.0267834439873695,-0.02084093913435936
p020_3_0.tiff,0.3321629195188415,546,78,../../Training_Data/p020/Tiles_156/p020_3_0.tiff,0.0336100608110427,0.2672256529331207,-0.0360889732837677,0.383387953042984,0.2350465357303619,0.2245394736528396,1.054830551147461,0.4673255980014801,0.303939014673233,0.048984095454216,0.0740482285618782,-0.0943277552723884,0.4363861978054046,0.3643506169319153,0.1294317543506622,0.2770111262798309,0.5024796724319458,0.0288326498121023,-0.00846005231142044
p020_4_0.tiff,-0.1834219776556891,702,78,../../Training_Data/p020/Tiles_156/p020_4_0.tiff,0.0399921312928199,0.7191041111946106,-0.2202365398406982,0.5775951743125916,-0.2443655282258987,0.8331886529922485,0.8158762454986572,0.2324045598506927,-0.3933688700199127,0.5693542957305908,0.6725049018859863,-0.4666624665260315,-0.078831523656845,0.4663914740085602,0.4615862667560577,0.1753538846969604,0.2541263997554779,0.0272383578121662,-0.010607033967971802
p020_5_0.tiff,0.6956439488063649,858,78,../../Training_Data/p020/Tiles_156/p020_5_0.tiff,0.0593897923827171,0.1011342853307724,-0.2963275611400604,0.6871583461761475,0.5176751613616943,0.4095102250576019,0.4811590909957886,0.5001592040061951,0.7836724519729614,0.4694665074348449,0.5314751267433167,-0.3022528290748596,0.7120912075042725,0.8865495920181274,0.733844518661499,0.3223080933094024,0.3727550506591797,0.0237813889980316,-0.015541618689894676
p020_6_0.tiff,-1.079556000278284,1014,78,../../Training_Data/p020/Tiles_156/p020_6_0.tiff,0.0185939241200685,0.5370092391967773,-0.001821419224143,0.3054819703102112,-0.6159602403640747,-0.2427404373884201,0.4261287450790405,-0.3890102505683899,-0.9845225214958192,1.228844404220581,1.2583682537078855,0.1428421735763549,-0.9316661953926086,-0.0657471939921379,0.5639005899429321,0.5098141431808472,0.3030046820640564,0.028605630621314,-0.010143865831196308
p020_7_0.tiff,1.399082647850261,1170,78,../../Training_Data/p020/Tiles_156/p020_7_0.tiff,-0.0094958366826176,0.1852825582027435,0.5703285932540894,-0.0467763170599937,0.136916235089302,-0.2251539379358291,0.1022729277610778,0.9082351922988892,1.6935763359069824,0.3779981732368469,0.4202708303928375,0.1839629411697387,1.438544988632202,0.1444336622953415,0.2204370498657226,0.2722848951816559,-0.0292806755751371,0.0256595816463232,-0.01279558427631855
p020_8_0.tiff,-1.079556000278284,1326,78,../../Training_Data/p020/Tiles_156/p020_8_0.tiff,0.0354577228426933,0.8500398993492126,-0.0515073835849761,-0.1056722700595855,-0.7309134006500244,0.0668937340378761,0.6274364590644836,-0.6493975520133972,-1.202407717704773,0.3969597220420837,0.5002647042274475,-0.1189377978444099,-1.0960620641708374,-0.4438101649284363,0.906546950340271,0.3806185722351074,0.0747228786349296,0.0303927697241306,-0.015841558575630188
p020_9_0.tiff,0.3321629195188415,1482,78,../../Training_Data/p020/Tiles_156/p020_9_0.tiff,0.0372626781463623,0.7330724596977234,-0.0859929397702217,0.2172292619943618,-0.4047204256057739,-0.0966565459966659,0.4881691932678222,0.0951991602778434,0.4600529968738556,0.4767272472381592,0.5178201794624329,0.0928675606846809,0.2679612338542938,0.0831625834107399,0.3161861300468445,0.1054847985506057,0.3052702248096466,0.0301820803433656,-0.01229972392320633
